类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值,开始日期,结束日期
分压盒,1,26,7,0.0,33.5,0.0,-31.57,26.0,3.71,2019-02-01,2019-02-28
气吹,6207,167771,13251,0.0,87.64,0.0,72.26,27.03,12.66,2019-02-01,2019-02-28
照片夹子,9759,282687,49746,0.0,51.99,0.01,19.24,28.97,5.68,2019-02-01,2019-02-28
USB灯,46362,1394913,296328,0.02,67.57,0.04,67.54,30.09,4.71,2019-02-01,2019-02-28
笔记本个性小贴纸,43660,1334002,422562,0.02,40.47,0.03,64.96,30.55,3.16,2019-02-01,2019-02-28
相机挂绳,2097,64334,12791,0.0,188.32,0.0,169.3,30.68,5.03,2019-02-01,2019-02-28
纽扣电池,507836,15969590,827155,0.33,74.84,0.92,81.33,31.45,19.31,2019-02-01,2019-02-28
清洁套装,77624,2458879,248509,0.03,67.11,0.08,68.4,31.68,9.89,2019-02-01,2019-02-28
液晶屏保护膜,1637,52220,9275,0.0,-31.92,0.0,-31.65,31.9,5.63,2019-02-01,2019-02-28
苹果卡槽,45553,1481572,193290,0.02,-19.03,0.04,12.15,32.52,7.67,2019-02-01,2019-02-28
单反机身盖,2090,71164,5970,0.0,88.01,0.0,65.65,34.05,11.92,2019-02-01,2019-02-28
手机贴纸,82829,2890941,514811,0.03,92.49,0.11,48.55,34.9,5.62,2019-02-01,2019-02-28
USB延长线,36101,1262123,68959,0.02,69.91,0.03,65.28,34.96,18.3,2019-02-01,2019-02-28
手机数据线,4120891,145498030,7031571,8.28,67.72,11.72,83.33,35.31,20.69,2019-02-01,2019-02-28
镜头笔,1458,51600,3365,0.0,-42.72,0.0,12.21,35.39,15.33,2019-02-01,2019-02-28
手机支架/手机座,1923468,68382749,4497032,2.89,99.32,6.52,85.47,35.55,15.21,2019-02-01,2019-02-28
电纸书屏幕贴膜,1985,70861,9289,0.0,-32.21,0.0,-32.94,35.7,7.63,2019-02-01,2019-02-28
遥控设备,494585,18212456,1099931,0.4,37.71,0.91,40.32,36.82,16.56,2019-02-01,2019-02-28
电子书保护套,43117,1655194,101630,0.02,-24.27,0.03,-22.77,38.39,16.29,2019-02-01,2019-02-28
视频线/音频线/AV线,97725,3766361,468792,0.04,67.47,0.13,67.41,38.54,8.03,2019-02-01,2019-02-28
平板电脑屏幕贴膜,239108,9445433,450758,0.13,68.12,0.34,41.32,39.5,20.95,2019-02-01,2019-02-28
网络切换器,694,28152,2097,0.0,22.22,0.0,46.24,40.56,13.42,2019-02-01,2019-02-28
笔记本膝上桌,244978,10195910,1252162,0.26,461.14,0.35,750.9,41.62,8.14,2019-02-01,2019-02-28
耳机保护套,457149,19229785,1461130,0.45,305.91,0.79,310.53,42.06,13.16,2019-02-01,2019-02-28
cmos清洁,1220,52053,2837,0.0,99.77,0.0,42.8,42.67,18.35,2019-02-01,2019-02-28
相机眼罩,2313,99056,9642,0.0,44.79,0.0,37.84,42.83,10.27,2019-02-01,2019-02-28
触摸屏手套,27469,1197234,86212,0.01,88.49,0.03,377.14,43.58,13.89,2019-02-01,2019-02-28
电池收纳盒,2537,112283,14889,0.0,222.09,0.0,65.52,44.26,7.54,2019-02-01,2019-02-28
AV切换器,1312,60193,8994,0.0,-24.61,0.0,11.02,45.88,6.69,2019-02-01,2019-02-28
RCA头,2119,99068,10194,0.0,33.34,0.0,27.9,46.75,9.72,2019-02-01,2019-02-28
USB暖手套/暖脚鞋,1173,56188,10019,0.0,11.46,0.0,24.1,47.9,5.61,2019-02-01,2019-02-28
线缆收纳器/集线器,1802,90206,43133,0.0,-31.43,0.0,-7.02,50.06,2.09,2019-02-01,2019-02-28
普通干电池,527354,26494090,1143174,0.57,99.89,0.99,90.38,50.24,23.18,2019-02-01,2019-02-28
数码收纳整理包,224122,11359765,752927,0.28,67.38,0.33,71.1,50.69,15.09,2019-02-01,2019-02-28
灰板,938,49921,2189,0.0,48.38,0.0,68.3,53.22,22.81,2019-02-01,2019-02-28
遥控器,9461,510062,44148,0.0,19.19,0.01,40.63,53.91,11.55,2019-02-01,2019-02-28
手机充电器,1872796,101402955,5331071,5.28,61.65,6.14,69.5,54.15,19.02,2019-02-01,2019-02-28
SIM 剪卡钳,5223,289594,11810,0.0,-8.5,0.0,-32.07,55.45,24.52,2019-02-01,2019-02-28
笔记本炫彩贴,219583,12504407,846592,0.31,86.02,0.32,86.3,56.95,14.77,2019-02-01,2019-02-28
微波炉面板,6553,379985,13714,0.0,28.25,0.0,36.4,57.99,27.71,2019-02-01,2019-02-28
电子书灯,10146,600241,64897,0.0,113.81,0.01,102.75,59.16,9.25,2019-02-01,2019-02-28
电视高压包,9858,584120,25466,0.0,13.6,0.01,13.8,59.25,22.94,2019-02-01,2019-02-28
镜头盖,10874,647521,43229,0.01,31.15,0.01,21.74,59.55,14.98,2019-02-01,2019-02-28
闪存卡转接套,10105,602562,94582,0.0,100.39,0.01,65.81,59.63,6.37,2019-02-01,2019-02-28
手机防尘塞,45184,2768829,463045,0.03,-31.73,0.04,86.94,61.28,5.98,2019-02-01,2019-02-28
MP3/MP4充电器,678,42318,6183,0.0,70.9,0.0,101.11,62.42,6.84,2019-02-01,2019-02-28
高压气罐,1362,86542,4087,0.0,36.66,0.0,126.64,63.54,21.17,2019-02-01,2019-02-28
USB吸尘器,16383,1052807,69412,0.01,374.1,0.01,327.08,64.26,15.17,2019-02-01,2019-02-28
BNC头,1843,121240,8392,0.0,61.7,0.0,97.93,65.78,14.45,2019-02-01,2019-02-28
车载充电器,43234,2860101,390228,0.03,31.12,0.03,19.1,66.15,7.33,2019-02-01,2019-02-28
单反/单电充电器,1693,115474,8745,0.0,211.18,0.0,78.27,68.21,13.2,2019-02-01,2019-02-28
移动电源,2656909,182049512,7819569,11.72,47.75,8.41,65.5,68.52,23.28,2019-02-01,2019-02-28
自拍杆/架,251228,17311627,608562,0.35,29.1,0.35,46.23,68.91,28.45,2019-02-01,2019-02-28
USB翻页激光笔,43798,3079217,55077,0.04,62.81,0.03,-17.36,70.3,55.91,2019-02-01,2019-02-28
USB暖手鼠标垫,8959,639802,66086,0.01,115.25,0.01,54.15,71.41,9.68,2019-02-01,2019-02-28
平板电脑保护套/壳,1239052,89761463,2918595,4.1,70.78,4.4,59.17,72.44,30.76,2019-02-01,2019-02-28
一次成像相机专用包,5531,403091,42168,0.0,25.49,0.0,46.31,72.88,9.56,2019-02-01,2019-02-28
镜头袋/镜头筒,680,49625,5669,0.0,91.32,0.0,290.82,72.98,8.75,2019-02-01,2019-02-28
USB按摩器,678,49712,8553,0.0,426.98,0.0,21.18,73.32,5.81,2019-02-01,2019-02-28
机顶盒共享器,677,50712,6210,0.0,-53.54,0.0,-27.05,74.91,8.17,2019-02-01,2019-02-28
USB风扇,60810,4574331,421896,0.05,411.84,0.06,416.1,75.22,10.84,2019-02-01,2019-02-28
一次成像相册,3667,277600,27048,0.0,56.8,0.0,87.35,75.7,10.26,2019-02-01,2019-02-28
USB摆设品/装饰品,680,51605,4227,0.0,389.5,0.0,256.66,75.89,12.21,2019-02-01,2019-02-28
电纸书充电器,710,54683,2396,0.0,-32.94,0.0,-21.6,77.02,22.82,2019-02-01,2019-02-28
USB加湿器,95680,7383137,507490,0.11,281.97,0.12,256.49,77.16,14.55,2019-02-01,2019-02-28
电纸书数据线,1296,100660,45309,0.0,1081.67,0.0,1001.69,77.67,2.22,2019-02-01,2019-02-28
读卡器,77203,6002707,305640,0.07,71.51,0.08,68.65,77.75,19.64,2019-02-01,2019-02-28
笔记本电脑包,392531,30862129,1456599,0.81,64.53,0.5,68.19,78.62,21.19,2019-02-01,2019-02-28
相机色卡,606,48682,3021,0.0,-17.54,0.0,57.3,80.33,16.11,2019-02-01,2019-02-28
镜头纸/镜头布,14792,1198409,43710,0.01,68.36,0.01,40.26,81.02,27.42,2019-02-01,2019-02-28
屏幕保护膜,6652,547743,27576,0.0,291.61,0.0,146.2,82.34,19.86,2019-02-01,2019-02-28
擦屏布,10734,898668,44723,0.01,145.06,0.01,87.53,83.72,20.09,2019-02-01,2019-02-28
插头/接口,10217,869024,68949,0.01,65.22,0.01,70.02,85.06,12.6,2019-02-01,2019-02-28
笔记本屏幕贴膜,54032,4716944,297182,0.05,85.66,0.06,67.25,87.3,15.87,2019-02-01,2019-02-28
清洁液,9646,846237,25084,0.01,141.81,0.01,108.73,87.73,33.74,2019-02-01,2019-02-28
VGA切换器,5491,483197,25165,0.0,25.41,0.0,27.59,88.0,19.2,2019-02-01,2019-02-28
笔记本散热器/降温卡,50880,4628787,312858,0.05,87.38,0.04,66.47,90.97,14.8,2019-02-01,2019-02-28
电子辞典/学习机配件,1797,167319,11363,0.0,-0.18,0.0,-24.69,93.11,14.72,2019-02-01,2019-02-28
遮光罩,8933,832877,43070,0.01,30.52,0.01,24.85,93.24,19.34,2019-02-01,2019-02-28
点读机/点读笔配件,5176,482974,16658,0.0,64.82,0.0,39.89,93.31,28.99,2019-02-01,2019-02-28
辅助道具类,20358,1899756,162507,0.03,56.88,0.02,23.66,93.32,11.69,2019-02-01,2019-02-28
18650电池盒,8957,848794,43216,0.01,257.07,0.01,67.61,94.76,19.64,2019-02-01,2019-02-28
平板电脑包,5858,556739,50675,0.0,-35.19,0.0,282.45,95.04,10.99,2019-02-01,2019-02-28
数码相机充电器,10481,996674,45507,0.01,20.75,0.01,17.64,95.09,21.9,2019-02-01,2019-02-28
通用电池充电套装,94885,9053066,328567,0.13,33.31,0.12,23.72,95.41,27.55,2019-02-01,2019-02-28
反光器具,5996,591265,22122,0.0,41.11,0.0,41.92,98.61,26.73,2019-02-01,2019-02-28
笔记本多功能支架/桌,65828,6543869,369912,0.08,121.59,0.06,243.86,99.41,17.69,2019-02-01,2019-02-28
USB HUB/转换器,176744,17590934,553208,0.38,87.52,0.3,104.17,99.53,31.8,2019-02-01,2019-02-28
相机腕带,5582,558165,25361,0.0,57.12,0.0,66.56,99.99,22.01,2019-02-01,2019-02-28
单反/单电适配器,489,49239,2185,0.0,127.66,0.0,55.09,100.69,22.54,2019-02-01,2019-02-28
相机/摄像机专用充电套装,682,70640,2812,0.0,26.31,0.0,0.0,103.58,25.12,2019-02-01,2019-02-28
平板电脑支架,15903,1660032,74853,0.02,13.58,0.01,11.02,104.38,22.18,2019-02-01,2019-02-28
耳机线夹,681,71689,7086,0.0,42.96,0.0,86.93,105.27,10.12,2019-02-01,2019-02-28
脚架接环,678,72077,2666,0.0,-0.08,0.0,69.84,106.31,27.04,2019-02-01,2019-02-28
节电器/省电器,9612,1153577,53358,0.01,-0.07,0.01,-6.91,120.01,21.62,2019-02-01,2019-02-28
平板电脑充电器,4560,557394,31427,0.0,22.06,0.0,25.16,122.24,17.74,2019-02-01,2019-02-28
平板电脑数据线,801,98363,17679,0.0,13.57,0.0,-8.63,122.8,5.56,2019-02-01,2019-02-28
手机电池,681657,84413953,2841791,3.56,19.18,2.48,20.58,123.84,29.7,2019-02-01,2019-02-28
相机专用遥控器,1840,228680,10177,0.0,11.69,0.0,-8.49,124.28,22.47,2019-02-01,2019-02-28
FM/MP3发射器,687,86736,9289,0.0,21.04,0.0,67.32,126.25,9.34,2019-02-01,2019-02-28
USB食品加热包/保温盒,677,86240,6120,0.0,231.23,0.0,121.81,127.39,14.09,2019-02-01,2019-02-28
数码维修工具,47664,6143087,306644,0.07,86.37,0.04,69.21,128.88,20.03,2019-02-01,2019-02-28
数码相机适配器,684,92514,5674,0.0,168.49,0.0,71.68,135.25,16.3,2019-02-01,2019-02-28
苹果视频线/转换线,53146,7244262,448079,0.11,105.13,0.05,119.25,136.31,16.17,2019-02-01,2019-02-28
快装板,7537,1029140,42082,0.01,87.22,0.01,100.04,136.55,24.46,2019-02-01,2019-02-28
数码相机电池,43136,5905623,93568,0.06,55.92,0.03,39.78,136.91,63.12,2019-02-01,2019-02-28
手机镜头,138979,19245054,631206,0.45,61.39,0.3,66.53,138.47,30.49,2019-02-01,2019-02-28
快门线,4614,642181,25264,0.01,-8.44,0.0,-0.2,139.18,25.42,2019-02-01,2019-02-28
MP4屏幕保护膜,21,2948,1792,0.0,-34.59,0.0,-9.18,140.38,1.65,2019-02-01,2019-02-28
笔记本电源,69506,10238490,365976,0.26,63.29,0.08,54.15,147.3,27.98,2019-02-01,2019-02-28
相机背带,12019,1780662,60273,0.03,83.34,0.01,85.63,148.15,29.54,2019-02-01,2019-02-28
射频器/转换器,12599,1886742,72682,0.03,11.4,0.01,11.75,149.75,25.96,2019-02-01,2019-02-28
其它配件,221407,33420313,2188361,0.9,68.27,0.33,40.16,150.95,15.27,2019-02-01,2019-02-28
USB驱蚊器,5573,849071,47570,0.01,7331.18,0.0,2492.49,152.35,17.85,2019-02-01,2019-02-28
F头,2797,445341,15940,0.0,11.75,0.0,21.3,159.22,27.94,2019-02-01,2019-02-28
USB碎纸机,24,3865,2041,0.0,-0.38,0.0,3.78,161.04,1.89,2019-02-01,2019-02-28
数码相机包,45874,7490716,297269,0.12,23.06,0.04,18.09,163.29,25.2,2019-02-01,2019-02-28
USB暖手宝/暖手袋,10478,1715695,228514,0.02,374.19,0.01,377.61,163.74,7.51,2019-02-01,2019-02-28
平板电脑零部件,42045,6947876,240364,0.11,62.36,0.03,24.75,165.25,28.91,2019-02-01,2019-02-28
数据连接线,2108,369782,14886,0.0,178.81,0.0,310.51,175.42,24.84,2019-02-01,2019-02-28
手机智能按键,2267,406473,14976,0.0,148.92,0.0,968.26,179.3,27.14,2019-02-01,2019-02-28
背景布类,98492,17703093,662075,0.38,101.92,0.21,79.96,179.74,26.74,2019-02-01,2019-02-28
手机零部件,943171,176965279,5313190,11.35,51.3,3.71,63.47,187.63,33.31,2019-02-01,2019-02-28
涂鸦笔,14973,2832716,72892,0.03,44.53,0.01,92.8,189.19,38.86,2019-02-01,2019-02-28
闪光灯配件,5725,1155515,25662,0.01,11.19,0.0,38.66,201.84,45.03,2019-02-01,2019-02-28
MP3/MP4连接线,676,138956,2099,0.0,460.17,0.0,128.25,205.56,66.2,2019-02-01,2019-02-28
USB电话机/网络电话机,2116,443238,13494,0.0,64.95,0.0,374.07,209.47,32.85,2019-02-01,2019-02-28
音乐枕,1503,315474,21158,0.0,-16.99,0.0,65.64,209.9,14.91,2019-02-01,2019-02-28
USB电脑锁/防盗器,32095,6987935,99935,0.11,203.67,0.03,293.68,217.73,69.92,2019-02-01,2019-02-28
快显胶片,20734,4560962,95451,0.05,-9.13,0.02,-14.15,219.98,47.78,2019-02-01,2019-02-28
脚架配件,2061,455950,15680,0.0,4.96,0.0,67.51,221.23,29.08,2019-02-01,2019-02-28
USB保暖坐垫/靠垫,24,5378,2111,0.0,-35.55,0.0,-62.7,224.08,2.55,2019-02-01,2019-02-28
滤镜,24525,5668614,80627,0.06,14.2,0.02,21.83,231.14,70.31,2019-02-01,2019-02-28
苹果卡贴,1,232,462,0.0,41.39,0.0,72.29,232.0,0.5,2019-02-01,2019-02-28
USB保温碟/保温垫,2110,492916,49946,0.0,1071.68,0.0,389.69,233.61,9.87,2019-02-01,2019-02-28
防寒设备,1536,365976,8803,0.0,-18.21,0.0,0.62,238.27,41.57,2019-02-01,2019-02-28
灯附件,9660,2302462,43449,0.03,86.92,0.01,68.55,238.35,52.99,2019-02-01,2019-02-28
Lomo潜水盒,1,240,36,0.0,0.0,0.0,0.0,240.0,6.67,2019-02-01,2019-02-28
18650电池,8572,2067707,62312,0.03,172.99,0.01,67.29,241.22,33.18,2019-02-01,2019-02-28
数码设备外接键盘,1721,416211,43104,0.0,-8.15,0.0,8.41,241.84,9.66,2019-02-01,2019-02-28
脚架包,1966,477563,9393,0.0,11.8,0.0,64.98,242.91,50.84,2019-02-01,2019-02-28
柔光器具,3632,907198,19123,0.01,77.77,0.0,60.3,249.78,47.44,2019-02-01,2019-02-28
脚架,43149,11063952,252546,0.28,14.22,0.03,22.5,256.41,43.81,2019-02-01,2019-02-28
摄影台/静物台,1953,503654,9918,0.0,40.53,0.0,22.77,257.89,50.78,2019-02-01,2019-02-28
说明书/使用指南,2112,557042,27237,0.0,-24.85,0.0,-45.66,263.75,20.45,2019-02-01,2019-02-28
MP3/MP4保护套,2102,555177,24310,0.0,26.12,0.0,100.48,264.12,22.84,2019-02-01,2019-02-28
包/箱配件,156,41903,5500,0.0,0.87,0.0,8.39,268.61,7.62,2019-02-01,2019-02-28
RF头,1271,368391,9763,0.0,66.99,0.0,39.44,289.84,37.73,2019-02-01,2019-02-28
隔离器/耦合器,1628,475600,12946,0.0,72.44,0.0,87.27,292.14,36.74,2019-02-01,2019-02-28
分配器/分频器/分支器,19194,5654303,78380,0.06,87.38,0.02,59.86,294.59,72.14,2019-02-01,2019-02-28
手写笔,78849,23596172,542868,0.52,333.98,0.09,257.16,299.26,43.47,2019-02-01,2019-02-28
摄影梯,3,927,56,0.0,-34.12,0.0,296.15,309.0,16.55,2019-02-01,2019-02-28
平板电脑外接键盘,8878,2884768,335575,0.03,101.05,0.01,227.36,324.93,8.6,2019-02-01,2019-02-28
笔记本电池,54286,17839512,295814,0.38,87.73,0.06,74.93,328.62,60.31,2019-02-01,2019-02-28
USB Humping Dog,470,157205,2198,0.0,55.92,0.0,63.19,334.48,71.52,2019-02-01,2019-02-28
摄影棚,19729,7054163,73496,0.11,135.25,0.02,104.05,357.55,95.98,2019-02-01,2019-02-28
平板电脑底座,1421,559066,18252,0.0,-16.84,0.0,38.29,393.43,30.63,2019-02-01,2019-02-28
USB多功能数码宝,2016,796351,16605,0.01,308.02,0.0,112.97,395.02,47.96,2019-02-01,2019-02-28
单反/单电电池,2162,857577,25228,0.01,70.64,0.0,87.2,396.66,33.99,2019-02-01,2019-02-28
摄像机配件,16232,7111071,283057,0.11,19.61,0.01,24.03,438.09,25.12,2019-02-01,2019-02-28
摄影包,3818,1758060,52422,0.02,81.33,0.0,83.99,460.47,33.54,2019-02-01,2019-02-28
防潮箱,9810,4619276,51640,0.05,70.83,0.01,84.0,470.87,89.45,2019-02-01,2019-02-28
Lomo相机包,25,12130,1715,0.0,222.93,0.0,87.6,485.2,7.07,2019-02-01,2019-02-28
胶卷,10377,5325551,53883,0.06,196.65,0.01,70.93,513.21,98.84,2019-02-01,2019-02-28
取景器,856,452101,10586,0.0,-8.66,0.0,36.52,528.16,42.71,2019-02-01,2019-02-28
笔记本零部件,67485,36021250,551430,0.92,63.37,0.07,49.61,533.77,65.32,2019-02-01,2019-02-28
云台,41890,23138939,427106,0.51,89.93,0.03,236.11,552.37,54.18,2019-02-01,2019-02-28
3G无线上网卡设备,2092,1156400,25607,0.01,-27.05,0.0,-33.41,552.77,45.16,2019-02-01,2019-02-28
单反手柄,1986,1100119,27570,0.01,36.71,0.0,31.66,553.94,39.9,2019-02-01,2019-02-28
3D立体眼镜,2023,1192170,42914,0.01,138.5,0.0,11.8,589.31,27.78,2019-02-01,2019-02-28
转接环,5967,3529143,47661,0.04,25.44,0.0,41.37,591.44,74.05,2019-02-01,2019-02-28
数码望远镜,14,8728,2233,0.0,-32.92,0.0,306.31,623.43,3.91,2019-02-01,2019-02-28
数码相框,2049,1373437,43022,0.02,1.65,0.0,59.19,670.3,31.92,2019-02-01,2019-02-28
专业摄影背心,23,15477,1658,0.0,306.08,0.0,64.72,672.91,9.33,2019-02-01,2019-02-28
无线传输设备,676,479553,7622,0.0,84.24,0.0,28.42,709.4,62.92,2019-02-01,2019-02-28
数码显微镜,3123,2502623,47222,0.03,144.99,0.0,66.57,801.35,53.0,2019-02-01,2019-02-28
影室灯,24583,20447359,149009,0.47,67.34,0.02,63.01,831.77,137.22,2019-02-01,2019-02-28
对焦屏,57,48950,2126,0.0,40.32,0.0,65.01,858.77,23.02,2019-02-01,2019-02-28
增距镜,425,378729,7208,0.0,63.5,0.0,62.85,891.13,52.54,2019-02-01,2019-02-28
外拍灯,2600,2538848,43221,0.03,66.47,0.0,257.46,976.48,58.74,2019-02-01,2019-02-28
相机闪光灯,3012,3089627,44357,0.04,-5.45,0.0,-3.27,1025.77,69.65,2019-02-01,2019-02-28
USB迷你冰箱,46,47390,9682,0.0,-43.59,0.0,99.28,1030.22,4.89,2019-02-01,2019-02-28
数码伴侣,25,27421,2114,0.0,374.5,0.0,43.66,1096.84,12.97,2019-02-01,2019-02-28
校色仪,1089,1220850,10187,0.01,252.97,0.0,280.08,1121.07,119.84,2019-02-01,2019-02-28
PDA/掌上电脑,2129,2455412,43362,0.03,68.01,0.0,90.23,1153.32,56.63,2019-02-01,2019-02-28
KVM,55,74076,2105,0.0,124.58,0.0,63.31,1346.84,35.19,2019-02-01,2019-02-28
Lomo镜头,324,600275,2662,0.0,9999.99,0.0,818.18,1852.7,225.5,2019-02-01,2019-02-28
显示器/打印机色彩校正仪,197,425354,5852,0.0,-14.0,0.0,15.89,2159.16,72.69,2019-02-01,2019-02-28
保护箱,21,49743,2079,0.0,-32.4,0.0,-8.23,2368.71,23.93,2019-02-01,2019-02-28
广角镜,56,136114,2487,0.0,-24.22,0.0,14.18,2430.61,54.73,2019-02-01,2019-02-28
USB氧吧/空气清新器,10,30799,1096,0.0,893.03,0.0,79.55,3079.9,28.1,2019-02-01,2019-02-28
Lomo闪光灯,1,4083,43,0.0,423.31,0.0,12.9,4083.0,94.95,2019-02-01,2019-02-28
白平衡镜,1,4091,396,0.0,-24.71,0.0,-48.7,4091.0,10.33,2019-02-01,2019-02-28
测光表,55,442026,3245,0.0,62.67,0.0,100.01,8036.84,136.22,2019-02-01,2019-02-28
手机保护套/壳,25760390,410942346,37077743,25.56,-2.78,54.11,-4.32,15.95,11.08,2019-03-01,2019-03-31
手机贴膜,17241255,217311247,21514372,13.54,9.22,27.59,-0.69,12.6,10.1,2019-03-01,2019-03-31
移动电源,3394421,192479242,9536953,11.74,7.77,9.26,19.18,56.7,20.18,2019-03-01,2019-03-31
手机零部件,1748439,189273070,5817878,11.38,-3.49,4.15,11.89,108.25,32.53,2019-03-01,2019-03-31
手机数据线,5314697,162383342,9244738,7.98,15.16,11.73,25.27,30.55,17.56,2019-03-01,2019-03-31
手机充电器,2085312,118760193,5692294,5.0,11.05,6.39,11.19,56.95,20.86,2019-03-01,2019-03-31
手机支架/手机座,2267676,100279995,6142318,3.31,56.02,7.62,22.17,44.22,16.33,2019-03-01,2019-03-31
平板电脑保护套/壳,1450618,99409420,3134013,3.12,27.69,3.68,13.16,68.53,31.72,2019-03-01,2019-03-31
数据线,3382789,86118671,5666784,2.83,17.73,9.15,17.65,25.46,15.2,2019-03-01,2019-03-31
手机电池,670598,82815758,2712476,2.25,-5.74,1.12,-7.97,123.5,30.53,2019-03-01,2019-03-31
笔记本零部件,92910,74992933,773825,1.65,-10.25,0.08,5.66,807.16,96.91,2019-03-01,2019-03-31
其它配件,304618,56252978,2417092,0.96,11.7,0.33,-5.55,184.67,23.27,2019-03-01,2019-03-31
影室灯,44199,47848187,326194,0.87,25.58,0.03,8.74,1082.56,146.69,2019-03-01,2019-03-31
云台,49785,47435678,471533,0.86,65.6,0.03,130.82,952.81,100.6,2019-03-01,2019-03-31
笔记本电脑包,457292,40024256,1903002,0.83,-0.86,0.53,2.92,87.52,21.03,2019-03-01,2019-03-31
背景布类,330409,31739599,1381607,0.59,25.47,0.37,17.72,96.06,22.97,2019-03-01,2019-03-31
普通干电池,611734,31555197,1393150,0.59,26.82,1.02,28.52,51.58,22.65,2019-03-01,2019-03-31
手机镜头,264289,31148676,1053003,0.53,22.4,0.32,11.77,117.86,29.58,2019-03-01,2019-03-31
耳机保护套,583735,30066408,2084323,0.5,221.61,0.91,190.57,51.51,14.43,2019-03-01,2019-03-31
手写笔,101522,28706863,662181,0.47,231.75,0.12,150.05,282.76,43.35,2019-03-01,2019-03-31
自拍杆/架,428453,26804599,916787,0.45,-8.38,0.47,-1.1,62.56,29.24,2019-03-01,2019-03-31
笔记本电池,72499,26499355,367506,0.43,20.71,0.06,17.6,365.51,72.11,2019-03-01,2019-03-31
USB HUB/转换器,310196,26288215,754548,0.43,28.27,0.35,25.59,84.75,34.84,2019-03-01,2019-03-31
遥控设备,506689,19658160,950983,0.37,11.24,0.83,11.77,38.8,20.67,2019-03-01,2019-03-31
USB风扇,448458,19083329,1244345,0.35,87.73,0.5,84.84,42.55,15.34,2019-03-01,2019-03-31
脚架,52269,18794893,367274,0.34,-3.19,0.04,-2.28,359.58,51.17,2019-03-01,2019-03-31
纽扣电池,584237,18391279,917257,0.33,25.57,0.91,26.31,31.48,20.05,2019-03-01,2019-03-31
笔记本炫彩贴,299764,17464907,1226446,0.31,15.72,0.33,6.26,58.26,14.24,2019-03-01,2019-03-31
摄影棚,43218,17311397,159790,0.3,24.88,0.03,11.77,400.56,108.34,2019-03-01,2019-03-31
USB电脑锁/防盗器,51826,17115150,300990,0.3,59.09,0.04,100.96,330.24,56.86,2019-03-01,2019-03-31
笔记本电源,94642,17000091,430481,0.3,6.68,0.09,17.69,179.63,39.49,2019-03-01,2019-03-31
摄像机配件,25426,16616367,360444,0.3,-17.6,0.02,-8.57,653.52,46.1,2019-03-01,2019-03-31
数码相机包,60491,14250387,383537,0.27,-9.13,0.05,-9.34,235.58,37.16,2019-03-01,2019-03-31
手机挂件/手机链,468762,13902551,1912057,0.21,59.47,0.66,27.67,29.66,7.27,2019-03-01,2019-03-31
数码收纳整理包,306964,13875061,998819,0.21,-8.55,0.34,15.3,45.2,13.89,2019-03-01,2019-03-31
通用电池充电套装,114570,13853392,388999,0.21,-6.12,0.12,-24.71,120.92,35.61,2019-03-01,2019-03-31
笔记本膝上桌,314482,12324591,1374895,0.12,252.56,0.35,280.61,39.19,8.96,2019-03-01,2019-03-31
苹果视频线/转换线,71230,11844660,485082,0.12,29.17,0.06,14.92,166.29,24.42,2019-03-01,2019-03-31
平板电脑屏幕贴膜,286735,11394436,473054,0.12,35.9,0.32,0.38,39.74,24.09,2019-03-01,2019-03-31
平板电脑零部件,43646,11282689,304118,0.11,-9.53,0.03,-17.36,258.5,37.1,2019-03-01,2019-03-31
笔记本多功能支架/桌,96221,11163349,458215,0.11,38.19,0.09,71.8,116.02,24.36,2019-03-01,2019-03-31
USB加湿器,111434,10243697,551536,0.11,250.52,0.12,281.39,91.93,18.57,2019-03-01,2019-03-31
分配器/分频器/分支器,27018,9768936,97839,0.09,40.69,0.02,19.38,361.57,99.85,2019-03-01,2019-03-31
耳机绕线器,480618,8481386,1313829,0.08,36.33,0.67,8.25,17.65,6.46,2019-03-01,2019-03-31
滤镜,43226,7730945,111542,0.08,0.03,0.03,-0.41,178.85,69.31,2019-03-01,2019-03-31
数码相机电池,50442,7681275,138859,0.08,11.7,0.03,8.94,152.28,55.32,2019-03-01,2019-03-31
数码维修工具,52128,7546180,367029,0.08,51.96,0.04,42.01,144.76,20.56,2019-03-01,2019-03-31
笔记本键盘保护膜,428803,6963556,773873,0.07,-9.05,0.47,-9.36,16.24,9.0,2019-03-01,2019-03-31
读卡器,97748,6927796,422164,0.07,-14.0,0.11,-9.09,70.87,16.41,2019-03-01,2019-03-31
笔记本散热器/降温卡,72047,6495074,447054,0.06,-9.11,0.06,-32.41,90.15,14.53,2019-03-01,2019-03-31
USB翻页激光笔,68708,6458015,100671,0.06,13.29,0.06,20.97,93.99,64.15,2019-03-01,2019-03-31
防潮箱,11925,6372478,61045,0.06,8.41,0.01,11.77,534.38,104.39,2019-03-01,2019-03-31
笔记本屏幕贴膜,73326,6363393,366553,0.06,25.54,0.06,8.4,86.78,17.36,2019-03-01,2019-03-31
转接环,9417,6240383,52865,0.06,19.7,0.01,14.03,662.67,118.04,2019-03-01,2019-03-31
视频线/音频线/AV线,239355,6216544,542010,0.06,22.1,0.3,35.35,25.97,11.47,2019-03-01,2019-03-31
