类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值,开始日期,结束日期
AV切换器,1875,88018,9728,0.0,-18.51,0.0,-32.9,46.94,9.05,2017-11-01,2017-11-30
数码相机适配器,694,85081,4041,0.0,-8.36,0.0,41.93,122.6,21.05,2017-11-01,2017-11-30
镜头袋/镜头筒,678,81550,9289,0.0,70.28,0.0,-32.17,120.28,8.78,2017-11-01,2017-11-30
脚架接环,677,74611,2108,0.0,42.6,0.0,-22.17,110.21,35.39,2017-11-01,2017-11-30
包/箱配件,679,73851,5730,0.0,33.59,0.0,13.53,108.76,12.89,2017-11-01,2017-11-30
平板电脑数据线,1013,70335,9541,0.0,-46.38,0.0,-36.64,69.43,7.37,2017-11-01,2017-11-30
灰板,1651,65446,2360,0.0,-5.67,0.0,-9.32,39.64,27.73,2017-11-01,2017-11-30
单反机身盖,2116,65427,5909,0.0,13.05,0.0,9.79,30.92,11.07,2017-11-01,2017-11-30
MSN聊天伴侣,1791,65290,8955,0.0,419.07,0.0,781.16,36.45,7.29,2017-11-01,2017-11-30
单反/单电适配器,679,53851,2107,0.0,40.18,0.0,28.74,79.31,25.56,2017-11-01,2017-11-30
USB摆设品/装饰品,331,52272,2405,0.0,450.85,0.0,457.54,157.92,21.73,2017-11-01,2017-11-30
USB食品加热包/保温盒,326,52243,4149,0.0,409.71,0.0,278.96,160.25,12.59,2017-11-01,2017-11-30
USB按摩器,951,52128,8448,0.0,322.15,0.0,287.76,54.81,6.17,2017-11-01,2017-11-30
网络切换器,1087,51603,2130,0.0,11.36,0.0,4.33,47.47,24.23,2017-11-01,2017-11-30
相机挂绳,1991,51531,9859,0.0,42.99,0.0,56.37,25.88,5.23,2017-11-01,2017-11-30
对焦屏,56,51268,2118,0.0,-8.57,0.0,-31.36,915.5,24.21,2017-11-01,2017-11-30
cmos清洁,1987,50900,2786,0.0,275.78,0.0,378.34,25.62,18.27,2017-11-01,2017-11-30
MP3/MP4充电器,677,50891,2346,0.0,18.64,0.0,-32.93,75.17,21.69,2017-11-01,2017-11-30
数码伴侣,21,48905,1988,0.0,-87.19,0.0,-58.75,2328.81,24.6,2017-11-01,2017-11-30
热靴水平仪,2107,46015,9778,0.0,17.92,0.0,0.81,21.84,4.71,2017-11-01,2017-11-30
自拍镜头,2049,45022,10101,0.0,-31.33,0.0,-16.85,21.97,4.46,2017-11-01,2017-11-30
MP3/MP4连接线,435,39958,2069,0.0,35.43,0.0,-31.78,91.86,19.31,2017-11-01,2017-11-30
USB驱蚊器,682,26249,6207,0.0,83.34,0.0,-8.48,38.49,4.23,2017-11-01,2017-11-30
USB保温碟/保温垫,1165,24024,20419,0.0,-30.28,0.0,-32.08,20.62,1.18,2017-11-01,2017-11-30
毛刷,1284,21654,2122,0.0,11.86,0.0,-24.96,16.86,10.2,2017-11-01,2017-11-30
MP4屏幕保护膜,358,16879,2057,0.0,183.53,0.0,-26.87,47.15,8.21,2017-11-01,2017-11-30
数码望远镜,5,15094,2124,0.0,-54.4,0.0,-34.07,3018.8,7.11,2017-11-01,2017-11-30
耳塞保护套,469,14481,2069,0.0,13.74,0.0,-32.88,30.88,7.0,2017-11-01,2017-11-30
USB保暖坐垫/靠垫,678,12934,2535,0.0,-47.37,0.0,19.21,19.08,5.1,2017-11-01,2017-11-30
USB碎纸机,678,12199,8683,0.0,415.81,0.0,453.5,17.99,1.4,2017-11-01,2017-11-30
USB迷你冰箱,22,9194,3726,0.0,-17.13,0.0,0.52,417.91,2.47,2017-11-01,2017-11-30
Lomo闪光灯,1,8612,46,0.0,1547.45,0.0,26.52,8612.0,187.22,2017-11-01,2017-11-30
摄影梯,6,7426,192,0.0,-31.83,0.0,-32.39,1237.67,38.68,2017-11-01,2017-11-30
Lomo相机包,22,6941,1214,0.0,-6.99,0.0,55.45,315.5,5.72,2017-11-01,2017-11-30
移动支付终端机,6,6412,679,0.0,-98.78,0.0,-98.8,1068.67,9.44,2017-11-01,2017-11-30
电纸书数据线,26,5005,1249,0.0,-95.71,0.0,-97.86,192.5,4.01,2017-11-01,2017-11-30
USB烟灰缸,509,4896,2430,0.0,453.15,0.0,205.76,9.62,2.01,2017-11-01,2017-11-30
